Country,Year,Below $1 a day (Number),Below $2.15 a day  (Number),Below $3.65 a day (Number),Below $6.85 a day (Number),Below $10 a day (Number),Below $20 a day (Number),Below $30 a day (Number),Below $40 a day (Number),Below $1 a day (%Share),Below $2.15 a day (%Share),Below $3.65 a day (%Share),Below $6.85 a day (%Share),Below $10 a day (%Share),Below $20 a day (%Share),Below $30 a day (%Share),Below $40 a day (%Share)
Ecuador,2000,1120847,3605296,6377129,9630609,10920309,12054623,12345829,12475167,8.84,28.43,50.29,75.94,86.11,95.06,97.36,98.38
Ecuador,2003,588189,1985886,4113360,7723120,9728739,12033764,12671880,12991110,4.40,14.85,30.77,57.77,72.77,90.01,94.78,97.17
Ecuador,2004,654328,2041775,4398942,8005897,9988367,12290163,12925524,13208509,4.81,15.02,32.35,58.88,73.46,90.39,95.07,97.15
Ecuador,2005,471654,1631934,3526190,7002149,9185533,12023121,12906649,13272980,3.41,11.80,25.50,50.65,66.44,86.96,93.35,96.00
Ecuador,2006,262391,1146371,2831475,6444158,8749895,12024458,13026397,13444815,1.87,8.15,20.14,45.84,62.24,85.53,92.65,95.63
Ecuador,2007,330077,1217909,2799592,6416743,8814562,12015296,13093347,13601479,2.31,8.52,19.58,44.88,61.66,84.04,91.58,95.14
Ecuador,2008,336658,1092209,2693309,6148118,8722748,12275750,13376982,13891860,2.32,7.51,18.53,42.30,60.01,84.45,92.03,95.57
Ecuador,2009,258549,1080083,2614981,6375407,9034515,12633104,13733070,14196493,1.75,7.31,17.70,43.15,61.15,85.51,92.95,96.09
Ecuador,2010,198507,852361,2271517,5817514,8528585,12460432,13716490,14323002,1.32,5.68,15.13,38.75,56.82,83.01,91.38,95.42
Ecuador,2011,197786,711767,1877778,5288009,7915193,12295585,13846687,14505087,1.30,4.67,12.32,34.69,51.92,80.66,90.83,95.15
Ecuador,2012,163889,690631,1806533,4868043,7520046,12285085,13891332,14627819,1.06,4.46,11.67,31.46,48.60,79.39,89.77,94.53
Ecuador,2013,97926,509093,1598894,4904711,7671653,12344980,14033578,14770193,0.62,3.24,10.18,31.23,48.84,78.59,89.34,94.03
Ecuador,2014,79270,420428,1385662,4403085,7357882,12532064,14254580,15027614,0.50,2.64,8.69,27.60,46.13,78.56,89.36,94.21
Ecuador,2015,136458,557704,1546606,4668864,7612518,12628706,14507102,15238062,0.84,3.44,9.54,28.80,46.96,77.90,89.48,93.99
Ecuador,2016,117532,589562,1573811,4644625,7682409,12947439,14830032,15554004,0.71,3.58,9.54,28.16,46.59,78.51,89.93,94.32
Ecuador,2017,97277,539356,1491186,4543780,7450941,13010087,14958522,15764514,0.58,3.21,8.88,27.07,44.39,77.51,89.12,93.92
Ecuador,2018,92302,565747,1658377,4757966,7760445,13302866,15189496,16003687,0.54,3.31,9.71,27.85,45.42,77.87,88.91,93.67
Ecuador,2019,82676,622600,1716764,5162331,8167271,13537963,15522687,16327211,0.48,3.58,9.88,29.71,47.01,77.92,89.35,93.98
Ecuador,2020,183657,1150194,2538232,6108325,9612731,14540668,16135096,16804594,1.04,6.52,14.39,34.62,54.48,82.42,91.45,95.25
Ecuador - urban,1987,313552,887234,1646370,3001476,3816529,4684469,4875772,4942544,6.24,17.66,32.76,59.73,75.95,93.23,97.03,98.36
Ecuador - urban,1995,364066,913760,2163539,4262015,5205493,6127039,6389831,6503279,5.50,13.81,32.70,64.41,78.67,92.59,96.56,98.28
Ecuador - urban,1998,329561,1156485,2598854,4651397,5668008,6704076,6994910,7118485,4.56,15.99,35.93,64.31,78.37,92.69,96.71,98.42
Egypt,1990,29592,2972089,19020595,44271102,51551250,55340628,55854709,56013162,0.05,5.29,33.88,78.87,91.84,98.59,99.50,99.78
Egypt,1995,32860,1892921,21132572,51014659,58207049,61615557,62059009,62194672,0.05,3.04,33.90,81.84,93.38,98.85,99.56,99.78
Egypt,1999,52072,933752,13602753,47526837,59833572,66217635,67031543,67275487,0.08,1.38,20.15,70.39,88.62,98.08,99.28,99.64
Egypt,2004,14009,2304982,20870560,57665424,67459276,72788372,73695747,73984955,0.02,3.11,28.14,77.75,90.95,98.13,99.36,99.75
Egypt,2008,1492,2287071,20720823,61678979,72697371,78284179,79126231,79395079,0.00,2.87,26.02,77.45,91.29,98.30,99.36,99.70
Egypt,2010,0,858494,14707999,58402209,72899619,81067276,82262729,82514653,0.00,1.04,17.77,70.57,88.08,97.95,99.40,99.70
Egypt,2012,0,769225,11838496,58567849,76193203,84754014,85895199,86235950,0.00,0.89,13.70,67.77,88.16,98.07,99.39,99.78
Egypt,2015,27302,837557,12195751,59586629,79121620,89955112,91521910,91955717,0.03,0.91,13.19,64.46,85.59,97.31,99.00,99.47
Egypt,2017,11876,2415743,21214274,70052663,86029000,94498258,95767978,96125869,0.01,2.50,22.00,72.64,89.20,97.98,99.30,99.67
El Salvador,1989,477824,983056,1700281,3021753,3893214,4895743,5088061,5145185,9.19,18.90,32.69,58.10,74.86,94.14,97.84,98.93
El Salvador,1991,506438,1178517,2092856,3518498,4234668,4994877,5184625,5250689,9.48,22.06,39.18,65.86,79.27,93.50,97.05,98.29
El Salvador,1995,268878,746313,1673459,3278261,4227196,5201395,5426699,5505107,4.78,13.26,29.73,58.24,75.10,92.41,96.41,97.81
El Salvador,1996,282398,868414,1752040,3395931,4248440,5232308,5478778,5566305,4.96,15.26,30.79,59.68,74.67,91.96,96.29,97.83
El Salvador,1998,637107,1219330,1992640,3357028,4243106,5284067,5545975,5668523,10.99,21.03,34.37,57.90,73.19,91.14,95.66,97.77
El Salvador,1999,492896,1008302,1774275,3234818,4141691,5261784,5575035,5693822,8.43,17.25,30.36,55.34,70.86,90.02,95.38,97.42
El Salvador,2000,264582,762071,1512935,3001030,3975948,5177711,5556770,5722112,4.49,12.94,25.70,50.97,67.53,87.94,94.38,97.18
El Salvador,2001,312087,835982,1628112,3105632,4062475,5245889,5606126,5756256,5.27,14.10,27.47,52.40,68.54,88.51,94.59,97.12
El Salvador,2002,343562,878156,1651005,3122116,4038107,5280346,5678512,5812658,5.76,14.73,27.69,52.37,67.73,88.56,95.24,97.49
El Salvador,2003,434799,947890,1703567,3210662,4186773,5405858,5734314,5858728,7.25,15.81,28.42,53.56,69.85,90.19,95.67,97.74
El Salvador,2004,260025,692036,1451376,3117472,4109529,5423050,5775986,5884512,4.32,11.49,24.09,51.75,68.22,90.03,95.89,97.69
El Salvador,2005,198685,682586,1466903,3136339,4169324,5432641,5786735,5915954,3.28,11.28,24.24,51.82,68.89,89.76,95.61,97.75
El Salvador,2006,61186,465113,1274460,3070164,4202800,5507535,5842378,5944976,1.01,7.65,20.96,50.50,69.13,90.59,96.10,97.79
El Salvador,2007,29677,309472,1022934,2883067,4086001,5487519,5826054,5961158,0.49,5.07,16.75,47.22,66.92,89.87,95.42,97.63
El Salvador,2008,44655,473220,1307857,3122392,4186964,5483918,5846101,5989022,0.73,7.72,21.33,50.92,68.28,89.43,95.34,97.67
El Salvador,2009,42022,456897,1275336,3109623,4328408,5604856,5900597,5998081,0.68,7.42,20.71,50.50,70.29,91.02,95.83,97.41
El Salvador,2010,34460,392406,1227992,3038286,4223107,5602174,5940602,6064787,0.56,6.35,19.86,49.13,68.29,90.59,96.07,98.07
El Salvador,2011,20491,331702,1142382,3103582,4337523,5700170,6009798,6112155,0.33,5.34,18.39,49.97,69.84,91.78,96.77,98.42
El Salvador,2012,23811,289262,1002718,2939512,4277483,5718398,6027521,6125406,0.38,4.64,16.07,47.12,68.57,91.67,96.63,98.20
El Salvador,2013,14147,227128,892147,2677750,4050645,5608609,5990964,6127242,0.23,3.62,14.24,42.73,64.64,89.51,95.61,97.78
El Salvador,2014,9782,216646,865261,2689293,4052188,5629264,6026189,6162354,0.16,3.44,13.74,42.72,64.37,89.42,95.73,97.89
El Salvador,2015,6837,146037,725574,2542409,3953940,5692824,6060279,6193600,0.11,2.31,11.47,40.20,62.51,90.00,95.81,97.92
El Salvador,2016,7642,167356,760394,2462491,3845683,5677775,6107793,6232346,0.12,2.63,11.96,38.74,60.50,89.33,96.09,98.05
El Salvador,2017,7798,137696,617816,2320848,3767216,5720748,6158072,6282572,0.12,2.16,9.67,36.33,58.97,89.55,96.40,98.35
El Salvador,2018,6570,118319,574759,2117715,3530043,5578073,6124658,6283310,0.10,1.84,8.95,32.98,54.98,86.88,95.39,97.86
El Salvador,2019,2110,90473,425370,1855833,3269800,5464757,6057151,6280182,0.03,1.40,6.59,28.76,50.67,84.68,93.86,97.31
Estonia,1993,4617,20208,99896,464053,806328,1305867,1419050,1455165,0.31,1.35,6.69,31.06,53.97,87.40,94.98,97.39
Estonia,1995,933,8472,86584,464890,838184,1332894,1423397,1436620,0.06,0.59,6.03,32.36,58.34,92.78,99.08,100.00
Estonia,1998,0,2253,54613,378527,689776,1179066,1302426,1343593,0.00,0.16,3.94,27.31,49.76,85.06,93.96,96.93
Estonia,2000,817,20034,82643,395080,728810,1222217,1337116,1368993,0.06,1.43,5.92,28.28,52.17,87.49,95.71,98.00
Estonia,2001,2219,16910,85780,427107,763500,1225749,1335418,1361773,0.16,1.22,6.18,30.77,55.00,88.30,96.20,98.10
Estonia,2002,2100,18858,77848,398538,734991,1203698,1322849,1358623,0.15,1.37,5.64,28.89,53.29,87.27,95.90,98.50
Estonia,2003,1623,16137,90938,374840,691630,1203980,1317253,1345939,0.12,1.18,6.63,27.35,50.46,87.84,96.10,98.19
Estonia,2004,545,7486,53805,280170,565707,1128510,1285294,1332111,0.04,0.55,3.95,20.56,41.52,82.82,94.33,97.77
Estonia,2005,3139,10996,26367,103155,239838,874533,1157836,1260873,0.23,0.81,1.95,7.61,17.70,64.55,85.46,93.07
Estonia,2006,6204,11097,19251,61790,160896,743558,1075027,1220363,0.46,0.82,1.43,4.59,11.95,55.21,79.82,90.61
Estonia,2007,3126,5702,12080,39971,104879,591970,950887,1147772,0.23,0.43,0.90,2.98,7.82,44.15,70.93,85.61
Estonia,2008,2954,5164,12361,40085,103453,568189,936472,1136411,0.22,0.39,0.92,3.00,7.74,42.49,70.04,84.99
Estonia,2009,2600,7407,16247,53942,118795,587740,983951,1158724,0.19,0.56,1.22,4.04,8.90,44.04,73.73,86.83
Estonia,2010,6441,10548,23631,76653,163912,660009,1010106,1185803,0.48,0.79,1.77,5.76,12.31,49.57,75.86,89.06
Estonia,2011,7342,13004,21804,62500,144947,650976,984485,1155053,0.55,0.98,1.64,4.71,10.92,49.04,74.16,87.01
Estonia,2012,4548,9784,20292,54273,131224,601897,948730,1124976,0.34,0.74,1.53,4.10,9.92,45.51,71.73,85.05
Estonia,2013,8508,11330,21617,55792,130222,555331,883545,1069011,0.65,0.86,1.64,4.23,9.88,42.13,67.04,81.11
Estonia,2014,6341,10918,18117,52749,96973,461273,821191,1030211,0.48,0.83,1.38,4.01,7.38,35.09,62.47,78.37
Estonia,2015,4581,7893,12116,30170,75157,361830,748785,967353,0.35,0.60,0.92,2.29,5.71,27.51,56.92,73.54
Estonia,2016,3658,6185,8884,24043,57640,287217,681348,907846,0.28,0.47,0.68,1.83,4.38,21.83,51.78,69.00
Estonia,2017,2212,3540,7529,17526,42712,238487,628782,856243,0.17,0.27,0.57,1.33,3.24,18.10,47.73,65.00
Estonia,2018,2569,3288,6740,14321,35102,205125,574773,814086,0.19,0.25,0.51,1.08,2.66,15.52,43.48,61.58
Estonia,2019,3797,7390,11795,18653,33364,177384,538754,797138,0.29,0.56,0.89,1.41,2.51,13.37,40.60,60.08
Eswatini,1994,556939,775547,852339,891475,901052,907613,907613,907613,61.36,85.45,93.91,98.22,99.28,100.00,100.00,100.00
Eswatini,2000,168163,564383,768523,900010,942710,985861,998318,1001384,16.73,56.13,76.44,89.51,93.76,98.05,99.29,99.60
Eswatini,2009,175990,521600,737351,922305,985055,1039647,1051437,1055252,16.64,49.33,69.73,87.22,93.15,98.32,99.43,99.79
Eswatini,2016,95584,401927,646661,870430,954010,1063377,1091145,1102959,8.58,36.08,58.05,78.14,85.64,95.46,97.95,99.01
Ethiopia,1995,9797445,37212198,49612297,54985015,56043138,56623695,56823632,56910741,17.17,65.23,86.97,96.38,98.24,99.26,99.61,99.76
Ethiopia,1999,3411802,33879466,56220130,62809061,63774574,64259747,64312765,64325053,5.30,52.65,87.38,97.62,99.12,99.87,99.95,99.97
Ethiopia,2004,742137,25492875,56902493,71423362,73097407,74047539,74170525,74206226,1.00,34.34,76.65,96.21,98.46,99.74,99.91,99.96
Ethiopia,2010,3075797,27396751,62854689,82449391,85628035,87319837,87539717,87588160,3.51,31.26,71.72,94.08,97.70,99.63,99.89,99.94
Ethiopia,2015,3402232,27233255,65572711,91668886,97197586,100302772,100662478,100775313,3.37,27.01,65.03,90.91,96.39,99.47,99.83,99.94
Ethiopia - rural,1981,3563916,21587255,29509358,31659413,31965681,32130260,32156149,32164697,11.08,67.11,91.74,98.42,99.38,99.89,99.97,99.99
Europe and Central Asia,1990,4068790,14964693,48603228,136405897,215519966,367093897,424778614,444781872,0.88,3.23,10.49,29.44,46.51,79.22,91.67,95.99
Europe and Central Asia,1991,4451202,17593850,55411187,150997893,233715365,387337340,434534849,450188180,0.96,3.78,11.91,32.44,50.22,83.22,93.36,96.73
Europe and Central Asia,1992,5624175,24950602,70016053,176294505,262213350,403517112,442980049,455302397,1.20,5.34,14.99,37.75,56.14,86.40,94.85,97.49
Europe and Central Asia,1993,6233836,29889086,82238405,206126902,295456473,421242052,450679509,459332309,1.33,6.38,17.55,44.00,63.07,89.92,96.20,98.05
Europe and Central Asia,1994,7683037,38630008,102295843,227401105,308878109,423285309,451436113,460226176,1.64,8.23,21.80,48.46,65.82,90.20,96.20,98.07
Europe and Central Asia,1995,8812383,38761495,92522432,201768844,287325267,416133292,448961014,459340825,1.88,8.26,19.71,42.98,61.20,88.64,95.63,97.84
Europe and Central Asia,1996,8946418,38915802,96811562,217883305,303636268,420287951,450401794,460083520,1.90,8.28,20.61,46.39,64.64,89.48,95.89,97.95
Europe and Central Asia,1997,9562556,36512324,86454083,206343178,297198489,421090678,452564923,461837676,2.03,7.77,18.39,43.90,63.24,89.60,96.29,98.27
Europe and Central Asia,1998,8982851,36014732,88737169,209085013,297503032,419884377,451143965,461471320,1.91,7.66,18.87,44.47,63.28,89.31,95.96,98.15
Europe and Central Asia,1999,10384459,46242157,114684714,245423127,326242632,431480418,457443275,464339249,2.21,9.84,24.40,52.22,69.41,91.80,97.33,98.79
Europe and Central Asia,2000,11277148,42995172,99519126,226618204,313109874,426450933,455289876,463129356,2.40,9.16,21.19,48.26,66.68,90.82,96.96,98.63
Europe and Central Asia,2001,9703842,39172148,89874555,213982169,302827086,421844338,453219513,462091272,2.07,8.35,19.16,45.63,64.57,89.95,96.64,98.53
Europe and Central Asia,2002,8004523,34758446,79567476,199922363,291188037,414067017,449548274,460181367,1.71,7.42,16.98,42.67,62.15,88.38,95.95,98.22
Europe and Central Asia,2003,9574160,33952185,75143244,191978253,281897133,405290207,442893741,456519732,2.04,7.25,16.04,40.97,60.16,86.50,94.52,97.43
Europe and Central Asia,2004,8263766,29484423,64093421,169410546,260263215,394319699,437801446,454400128,1.76,6.29,13.67,36.14,55.51,84.11,93.38,96.92
Europe and Central Asia,2005,7519509,29333894,60291285,153211352,244444117,388610945,434539220,451841093,1.60,6.25,12.85,32.66,52.10,82.83,92.62,96.31
Europe and Central Asia,2006,6618687,26070454,51741883,136303784,224454971,378788870,430430546,449364667,1.41,5.55,11.02,29.02,47.80,80.66,91.66,95.69
Europe and Central Asia,2007,5566531,23387057,45557694,119455079,203696612,366250369,422949315,444459532,1.18,4.97,9.69,25.40,43.31,77.88,89.93,94.51
Europe and Central Asia,2008,4628074,20715958,39697998,100666887,179125136,351819878,415995326,441960980,0.98,4.39,8.42,21.35,37.99,74.62,88.23,93.74
Europe and Central Asia,2009,3925464,20163002,39180915,102256020,183256489,357935484,419845722,445168802,0.83,4.26,8.28,21.61,38.73,75.65,88.73,94.08
Europe and Central Asia,2010,3795906,19949392,38913568,97472391,173502720,348195175,416565265,444546047,0.80,4.20,8.19,20.52,36.53,73.30,87.70,93.59
Europe and Central Asia,2011,3429866,18557102,37580752,91583537,165996217,344948475,415874337,444023559,0.72,3.89,7.88,19.19,34.79,72.30,87.16,93.06
Europe and Central Asia,2012,3222838,17925609,36799483,89350429,161390982,340840901,414491158,443825028,0.67,3.74,7.68,18.64,33.67,71.12,86.48,92.60
Europe and Central Asia,2013,2610714,16382583,35236244,84286428,153402138,336985332,413289148,445225857,0.54,3.40,7.32,17.50,31.85,69.96,85.80,92.44
Europe and Central Asia,2014,3036856,17170333,36649199,84283830,152610789,335014231,414483068,447240469,0.63,3.55,7.57,17.41,31.53,69.21,85.63,92.39
Europe and Central Asia,2015,2406784,15572137,35740276,87390471,159604037,342563910,419466098,451846754,0.49,3.20,7.35,17.96,32.81,70.41,86.22,92.88
Europe and Central Asia,2016,2355898,14054284,33185969,85624977,158230917,340872403,418283781,452525977,0.48,2.87,6.79,17.51,32.37,69.73,85.56,92.57
Europe and Central Asia,2017,2300910,13960518,33095041,80456629,148745176,333164713,416319293,452867200,0.47,2.84,6.74,16.38,30.29,67.84,84.77,92.22
Europe and Central Asia,2018,1649557,11976724,30198477,76218598,144196131,333972389,417329004,453608734,0.33,2.43,6.12,15.46,29.24,67.73,84.64,91.99
Europe and Central Asia,2019,1603663,11766863,30569134,74321559,135439024,320387008,409375821,450671087,0.32,2.38,6.18,15.02,27.36,64.73,82.71,91.05
Fiji,2002,225,13681,103971,366451,550380,746336,792458,805542,0.03,1.68,12.75,44.95,67.51,91.55,97.20,98.81
Fiji,2008,0,8683,79401,337803,547279,763264,812810,828269,0.00,1.03,9.39,39.96,64.74,90.29,96.15,97.98
Fiji,2013,0,3147,51979,334165,547463,787622,836339,851454,0.00,0.36,6.00,38.60,63.25,90.99,96.62,98.37
Fiji,2019,0,11732,109961,468091,686613,866583,884246,888387,0.00,1.32,12.36,52.60,77.15,97.37,99.36,99.82
Finland,1987,0,0,0,11982,35701,480791,1997186,3452257,0.00,0.00,0.00,0.24,0.72,9.75,40.49,70.00
Finland,1991,0,0,0,12366,24934,300802,1528530,2995165,0.00,0.00,0.00,0.25,0.50,6.00,30.49,59.74
Finland,1995,0,0,0,12269,12269,408036,1991658,3485755,0.00,0.00,0.00,0.24,0.24,7.99,38.99,68.24
Finland,2000,0,0,0,12780,25362,400166,1526094,2897372,0.00,0.00,0.00,0.25,0.49,7.73,29.48,55.97
Finland,2003,1926,2569,4762,12409,32457,338449,1312108,2655027,0.04,0.05,0.09,0.24,0.62,6.49,25.17,50.93
Finland,2004,1287,2061,3746,8638,18387,285904,1163244,2497685,0.02,0.04,0.07,0.17,0.35,5.47,22.25,47.77
Finland,2005,2254,2902,5826,11615,18256,223445,1060297,2279935,0.04,0.06,0.11,0.22,0.35,4.26,20.21,43.46
Finland,2006,3525,4233,6447,11355,24663,257238,1019118,2242330,0.07,0.08,0.12,0.22,0.47,4.88,19.35,42.58
Finland,2007,2391,3371,5360,7284,19635,231928,936784,2091667,0.05,0.06,0.10,0.14,0.37,4.39,17.71,39.55
Finland,2008,715,2862,6756,11991,20524,227190,851335,2020561,0.01,0.05,0.13,0.23,0.39,4.28,16.02,38.03
Finland,2009,2120,2801,3383,7321,20407,203814,826891,1920819,0.04,0.05,0.06,0.14,0.38,3.82,15.49,35.98
Finland,2010,1530,2888,3765,8736,20458,207184,824659,1874966,0.03,0.05,0.07,0.16,0.38,3.86,15.38,34.96
Finland,2011,1982,2554,3499,6506,13154,201516,792747,1830503,0.04,0.05,0.06,0.12,0.24,3.74,14.71,33.97
Finland,2012,2655,2855,2954,9890,18586,172174,736921,1794058,0.05,0.05,0.05,0.18,0.34,3.18,13.61,33.14
Finland,2013,3258,4631,4971,9384,20939,190031,800416,1816880,0.06,0.09,0.09,0.17,0.38,3.49,14.72,33.40
Finland,2014,2242,3614,4187,8772,15694,176785,772029,1797673,0.04,0.07,0.08,0.16,0.29,3.24,14.14,32.92
Finland,2015,3120,3847,6191,11690,20012,178582,769817,1810805,0.06,0.07,0.11,0.21,0.37,3.26,14.05,33.05
Finland,2016,1691,2596,4522,11653,21231,144442,731478,1745989,0.03,0.05,0.08,0.21,0.39,2.63,13.31,31.77
Finland,2017,3455,3623,4704,7447,19491,166248,685568,1677864,0.06,0.07,0.09,0.14,0.35,3.02,12.45,30.46
Finland,2018,2377,3131,6173,10952,15568,155731,658346,1606162,0.04,0.06,0.11,0.20,0.28,2.82,11.94,29.12
Finland,2019,2094,2144,5520,8877,15923,157431,652782,1564220,0.04,0.04,0.10,0.16,0.29,2.85,11.82,28.33
France,1978,265210,541749,815896,1361971,2317121,12711324,26798349,36914238,0.48,0.99,1.49,2.49,4.24,23.24,49.00,67.49
France,1984,557085,843816,1263075,1968721,3234018,13513967,27319118,38306452,0.99,1.50,2.24,3.49,5.74,23.99,48.49,67.99
France,1989,427396,573577,720818,1150173,1869109,11297584,25483382,37945063,0.74,0.99,1.24,1.99,3.23,19.50,43.98,65.49
France,1994,0,0,147958,147958,590189,7709035,21059379,33073389,0.00,0.00,0.25,0.25,0.99,12.99,35.50,55.75
France,2000,0,0,149081,149081,451912,7303179,20705653,33185842,0.00,0.00,0.24,0.24,0.74,11.99,33.99,54.48
France,2003,14766,97947,124936,258732,589397,5708390,18560486,31546484,0.02,0.16,0.20,0.42,0.95,9.17,29.82,50.68
France,2004,12972,31181,69617,186114,361737,5198044,17534620,30620016,0.02,0.05,0.11,0.30,0.58,8.29,27.96,48.83
France,2005,18229,27202,33422,195108,456028,5285201,17066542,30964163,0.03,0.04,0.05,0.31,0.72,8.37,27.01,49.01
France,2006,9922,17578,34674,131705,426282,5829358,17831073,31496659,0.02,0.03,0.05,0.21,0.67,9.16,28.03,49.51
France,2007,7616,9518,31342,78837,203856,3546691,12213811,24219668,0.01,0.01,0.05,0.12,0.32,5.54,19.08,37.83
France,2008,4869,6239,13251,78780,214929,3634501,12560045,23852579,0.01,0.01,0.02,0.12,0.33,5.65,19.51,37.05
France,2009,8577,28697,77322,258607,395714,4174228,12168724,22934566,0.01,0.04,0.12,0.40,0.61,6.45,18.81,35.44
France,2010,23512,56831,90551,217977,400873,4016492,12706839,24309931,0.04,0.09,0.14,0.34,0.62,6.18,19.54,37.38
France,2011,0,16848,41866,143839,411065,3864045,12205665,23982407,0.00,0.03,0.06,0.22,0.63,5.91,18.68,36.70
France,2012,21411,40021,65054,203678,528638,3848053,12307836,23959561,0.03,0.06,0.10,0.31,0.81,5.86,18.74,36.49
France,2013,38991,39857,85005,133931,292554,3818768,12307034,24060659,0.06,0.06,0.13,0.20,0.44,5.79,18.65,36.46
France,2014,4545,12386,27640,102661,231240,3759589,12134389,23515264,0.01,0.02,0.04,0.15,0.35,5.67,18.30,35.46
France,2015,28173,88879,140047,225562,395729,3708912,11846246,22724782,0.04,0.13,0.21,0.34,0.59,5.57,17.80,34.15
France,2016,30725,38784,82002,167961,284335,3623275,11310547,22446474,0.05,0.06,0.12,0.25,0.43,5.43,16.95,33.64
France,2017,1598,10632,21252,67309,190767,3440352,11384152,22023990,0.00,0.02,0.03,0.10,0.29,5.14,17.01,32.91
France,2018,11830,14204,48509,95771,227616,3514252,10913614,21938279,0.02,0.02,0.07,0.14,0.34,5.24,16.26,32.69
Gabon,2005,5954,76255,292345,765882,1032134,1295850,1353452,1371686,0.43,5.48,21.02,55.08,74.22,93.19,97.33,98.64
Gabon,2017,4597,50973,167918,644731,1074811,1738856,1958588,2022738,0.22,2.47,8.13,31.22,52.05,84.21,94.86,97.96
Gambia,1998,489446,917389,1096080,1194370,1218833,1235053,1237420,1237857,39.53,74.10,88.53,96.47,98.44,99.75,99.94,99.98
Gambia,2003,220120,734902,1066027,1317279,1388312,1437783,1445086,1447484,15.18,50.69,73.52,90.85,95.75,99.16,99.67,99.83
Gambia,2010,81599,534902,1067714,1548316,1685101,1765736,1782355,1787622,4.55,29.83,59.54,86.34,93.97,98.47,99.40,99.69
Gambia,2015,17427,279131,931318,1692772,1932056,2051751,2075654,2082319,0.84,13.38,44.65,81.15,92.63,98.36,99.51,99.83
Georgia,1996,0,303967,895836,2335269,3351098,4271373,4419542,4464635,0.00,6.77,19.94,51.99,74.61,95.09,98.39,99.40
Georgia,1997,187063,817108,1769406,3214933,3843315,4264986,4322270,4341623,4.30,18.78,40.68,73.91,88.35,98.05,99.36,99.81
Georgia,1998,191951,719785,1669888,3143760,3771615,4172776,4223357,4235499,4.52,16.96,39.35,74.08,88.88,98.33,99.52,99.81
Georgia,1999,207028,905865,1957955,3308438,3810030,4096134,4139773,4149993,4.98,21.79,47.10,79.58,91.65,98.53,99.58,99.83
Georgia,2000,235175,933659,2023057,3327801,3753133,4025052,4061736,4070319,5.77,22.90,49.62,81.62,92.05,98.72,99.62,99.83
Georgia,2001,215473,923644,2102859,3353414,3742298,3973827,4000608,4006816,5.37,23.01,52.38,83.54,93.22,98.99,99.66,99.81
Georgia,2002,77235,504857,1410993,2893544,3498952,3911325,3959231,3973037,1.94,12.69,35.47,72.73,87.95,98.31,99.52,99.86
Georgia,2003,87339,511715,1417407,2843833,3466000,3896851,3939145,3946174,2.21,12.95,35.87,71.96,87.71,98.61,99.68,99.86
Georgia,2004,87669,485891,1285261,2750513,3412483,3877261,3914279,3922774,2.23,12.37,32.73,70.04,86.89,98.72,99.67,99.88
Georgia,2005,94691,502746,1374107,2796889,3402015,3843358,3882740,3893706,2.43,12.88,35.21,71.67,87.18,98.49,99.49,99.78
Georgia,2006,84107,488543,1380645,2821532,3405152,3819156,3865589,3875065,2.17,12.59,35.58,72.71,87.75,98.42,99.62,99.86
Georgia,2007,75569,548027,1459119,2861004,3427730,3792424,3840057,3851032,1.96,14.20,37.80,74.12,88.80,98.25,99.48,99.76
Georgia,2008,68873,478996,1312896,2702864,3309437,3766043,3820785,3839285,1.79,12.45,34.11,70.23,85.99,97.86,99.28,99.76
Georgia,2009,71246,462609,1307168,2689298,3296546,3736041,3791372,3803946,1.87,12.13,34.27,70.50,86.42,97.95,99.40,99.73
Georgia,2010,91546,543929,1353180,2673663,3273338,3698080,3758720,3777036,2.42,14.36,35.74,70.61,86.44,97.66,99.26,99.74
Georgia,2011,96530,503421,1249729,2593038,3199113,3665860,3727852,3744679,2.57,13.40,33.27,69.03,85.16,97.59,99.24,99.69
Georgia,2012,49112,397730,1105161,2443302,3087853,3621053,3695944,3715571,1.32,10.67,29.64,65.52,82.81,97.11,99.12,99.64
Georgia,2013,30537,300340,942302,2230523,2932624,3577041,3670879,3695754,0.82,8.08,25.35,60.00,78.88,96.22,98.74,99.41
Georgia,2014,22644,227890,819192,2118693,2882567,3561991,3679710,3702346,0.61,6.13,22.02,56.96,77.50,95.77,98.93,99.54
Georgia,2015,14811,181775,744084,2094733,2868993,3583387,3677602,3708389,0.40,4.88,19.97,56.23,77.01,96.19,98.72,99.55
Georgia,2016,14538,183146,748710,2097662,2875716,3568725,3681819,3707738,0.39,4.91,20.09,56.28,77.15,95.74,98.77,99.47
Georgia,2017,24274,232250,749741,2008087,2813039,3551265,3666529,3703518,0.65,6.23,20.11,53.86,75.46,95.26,98.35,99.34
Georgia,2018,21525,207162,729778,2008151,2832370,3584795,3679853,3706709,0.58,5.56,19.58,53.89,76.01,96.20,98.75,99.47
Georgia,2019,9763,180377,687118,2017372,2848135,3590041,3679874,3700681,0.26,4.85,18.47,54.23,76.56,96.50,98.92,99.48
Georgia,2020,23856,215667,793418,2163819,3012885,3611683,3687566,3704666,0.64,5.81,21.36,58.26,81.12,97.25,99.29,99.75
Germany,1991,0,0,0,159421,389015,3997406,18589757,34796090,0.00,0.00,0.00,0.20,0.49,5.00,23.23,43.49
