COUNTRY,ID,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
United States,157758106,2,2,2,2,2,2,3
United States,118506493,2,2,2,4,1,2,99
United States,178441634,2,2,1,4,1,4,2
United States,176857422,1,3,2,2,1,2,3
United States,206019665,2,2,1,2,1,2,3
United States,198103564,1,4,1,1,2,1,1
United States,152854082,1,2,99,2,1,1,3
United States,178949013,1,3,1,2,1,2,1
United States,146238131,2,2,2,2,2,2,2
United States,139892186,2,4,1,1,1,3,3
United States,140248191,1,2,1,3,1,2,99
United States,180997672,2,4,2,3,2,3,3
United States,133067710,99,4,2,2,2,2,2
United States,134381242,1,2,1,2,1,2,2
United States,125900326,1,1,1,4,1,2,2
United States,184312231,2,2,2,4,2,4,99
United States,177710458,2,2,1,2,1,2,2
United States,167964781,2,3,2,2,1,2,4
United States,129174261,2,4,2,2,3,2,3
United States,164606996,2,2,1,2,1,1,2
United States,207276855,2,3,1,2,1,2,4
United States,117636794,1,2,1,2,1,1,3
United States,137576092,1,2,2,3,1,99,2
United States,177926883,1,3,1,1,1,4,99
United States,179297682,2,3,1,1,1,2,4
United States,198421870,4,4,1,1,1,2,2
United States,170462948,2,2,1,3,1,2,3
United States,169886295,2,3,2,3,2,2,2
United States,169128010,2,2,3,4,2,2,2
United States,134499158,2,2,2,4,2,2,2
United States,204778565,1,2,2,4,1,2,2
United States,149947856,1,1,1,3,1,3,2
United States,140514622,2,4,1,2,1,2,4
United States,193339306,2,4,1,4,1,1,99
United States,179880843,1,3,1,1,1,2,3
United States,147182557,4,99,3,99,3,4,2
United States,169134935,1,3,1,1,1,1,3
United States,149696821,4,3,1,4,2,4,1
United States,185585613,4,2,2,2,2,4,4
United States,167742718,1,3,1,1,2,1,2
United States,119806517,1,3,1,2,1,1,3
United States,119577528,1,2,1,3,1,1,3
United States,165363045,2,1,3,4,2,2,1
United States,146982634,2,4,2,2,2,2,2
United States,115691249,1,3,1,4,1,2,2
United States,199791894,3,3,3,3,2,3,2
United States,171842590,2,2,1,4,1,2,2
United States,163487022,1,2,1,1,1,1,1
United States,195892670,2,2,2,2,2,2,2
United States,138877140,2,3,2,4,2,2,2
United States,139873231,1,1,2,3,1,2,2
United States,164339927,2,4,2,4,2,4,2
United States,176945846,99,4,1,2,1,2,4
United States,189237952,2,2,1,2,2,1,2
United States,160234713,1,4,1,2,1,2,2
United States,143282567,1,4,1,2,1,1,2
United States,170153218,1,2,4,4,3,3,99
United States,187440466,1,3,1,3,2,1,1
United States,113333625,1,2,1,1,1,2,2
United States,185827213,2,3,1,2,1,2,1
United States,187557234,2,4,1,1,1,1,3
United States,153497058,4,99,3,2,99,2,99
United States,202174109,3,3,1,2,2,2,3
United States,204964039,2,3,1,2,1,1,2
United States,173056368,1,4,1,1,1,1,4
United States,178239698,1,2,2,2,1,3,1
United States,117306008,3,3,1,2,1,2,2
United States,175078321,2,4,3,3,2,4,3
United States,114484167,2,2,1,1,1,2,2
United States,124053834,3,2,2,3,2,2,3
United States,180228794,2,3,1,2,1,2,2
United States,133537696,2,3,2,2,1,2,2
United States,126798467,3,4,1,2,1,3,1
United States,166067287,1,2,2,2,1,1,99
United States,196736772,1,1,1,4,1,1,99
United States,130468181,1,2,2,2,1,2,2
United States,150825208,1,2,2,4,1,2,2
United States,147445711,2,4,1,2,1,2,2
United States,156600919,3,2,2,4,2,3,2
United States,183753903,1,3,2,2,2,2,2
United States,170088043,2,4,4,4,4,3,2
United States,184519861,1,3,2,3,1,2,3
United States,121578696,3,2,2,4,2,2,4
United States,153850573,1,1,2,3,1,2,2
United States,204000645,1,2,1,2,1,1,3
United States,163696401,1,4,1,2,1,2,3
United States,181262258,1,3,3,4,2,3,3
United States,144413672,1,3,2,2,2,2,2
United States,209531489,4,2,1,3,2,4,2
United States,143393812,2,4,2,2,2,2,2
United States,163347572,2,3,1,4,1,3,3
United States,114282357,1,4,1,2,1,2,2
United States,125794389,2,2,3,3,3,2,2
United States,153502221,2,2,1,1,1,1,3
United States,183800003,2,4,1,1,2,2,99
United States,208386182,1,2,1,4,1,2,2
United States,135720138,1,2,1,4,1,2,3
United States,133432686,2,3,1,2,1,1,3
United States,116907995,1,2,1,1,1,2,2
United States,132181572,1,2,2,2,2,4,2
